,lon,lat,mcc,range,net,cell,averageSignal
30840,11.5379,48.2065,262,2590,1,27148033,-73
30841,11.5766,48.1332,262,1000,1,28686850,-62
30842,11.5604,48.1445,262,3690,1,30390272,-89
30843,11.533,48.2021,262,2951,1,27057920,-82
30844,11.6582,48.204,262,841,1,32646401,-97
30845,11.5743,48.1337,262,1125,1,30053634,-61
30846,11.5678,48.135,262,5753,1,33076992,-90
30847,11.5767,48.1362,262,1000,1,31088901,-98
30848,11.5782,48.1325,262,1000,1,28686853,-84
30849,11.5766,48.133,262,1000,1,30053632,-86
30850,11.5773,48.1344,262,1098,1,31088900,-102
30851,11.5789,48.1361,262,1000,1,31088899,-88
30852,11.527,48.1841,262,2608,1,26509826,-68
30854,11.576,48.151,262,500,1,28081154,-71
30855,11.5828,48.1438,262,2340,1,31358977,-86
30856,11.5863,48.1432,262,2076,1,31358979,-74
30857,11.5767,48.1873,262,2680,1,33133825,-82
30858,11.6946,48.141,262,3311,1,26530816,-95
30859,11.6568,48.1776,262,1160,1,26760193,-78
30860,11.5284,48.1756,262,3436,1,33976833,-84
30861,11.5319,48.1834,262,1000,1,34305536,-89
30862,11.6677,48.1379,262,984,1,27001600,-94
30863,11.6345,48.1399,262,907,1,26504450,-52
30864,11.5292,48.1807,262,1000,1,33976834,-80
32280,11.5368,48.1516,262,645,1,407,-94
32281,11.5372,48.1539,262,2232,1,176,-55
32961,11.6395,48.1528,262,2730,1,27331073,-52
32963,11.7061,48.1515,262,2229,1,30218496,-100
32965,11.6458,48.1334,262,4417,1,32842241,-75
32966,11.6477,48.1402,262,1000,1,32842242,-58
32967,11.6519,48.1381,262,2726,1,32842240,-68
33180,11.5953,48.1665,262,4458,1,2636,-95
33349,11.5408,48.1648,262,1635,1,26516997,-79
34012,11.5674,48.1518,262,2573,1,26517253,-84
34446,11.5771,48.1417,262,1000,1,25988100,-84
34473,11.6662,48.2133,262,2844,1,1404,-90
34665,11.5873,48.1473,262,1000,1,25988099,-94
34806,11.5505,48.1861,262,1000,1,2963,-79
35774,11.4063,48.0757,262,1223,1,30217729,-89
35905,11.6356,48.2319,262,4870,1,2953,-79
36086,11.6195,48.2031,262,6839,1,35075585,-64
36088,11.6244,48.2114,262,540,1,35075584,-95
36117,11.6369,48.2456,262,5710,1,34788612,-87
36546,11.6845,48.1303,262,1392,1,34051329,-84
36802,11.6913,48.1366,262,1000,1,34051328,-79
36904,11.5908,48.155,262,1000,1,35165184,-89
36905,11.5869,48.1381,262,2120,1,33972224,-88
36906,11.5866,48.1378,262,1815,1,33972226,-61
37557,11.5821,48.1421,262,2090,1,31358980,-111
37789,11.6316,48.1283,262,3981,1,26512384,-78
37804,11.6233,48.1311,262,4661,1,26512386,-88
37806,11.6253,48.1274,262,1278,1,26512385,-83
37858,11.5942,48.1422,262,2405,1,33975040,-105
37992,11.6466,48.1634,262,3982,1,27126785,-83
37993,11.6536,48.1684,262,1000,1,27126784,-84
38001,11.6443,48.1687,262,1000,1,27126786,-86
38187,11.594,48.0852,262,810,1,32639234,-92
38192,11.6125,48.0858,262,5987,1,32639232,-105
38254,11.4617,48.1491,262,20617,1,28083200,-88
38256,11.4169,48.1408,262,1234,1,26961665,-104
38257,11.4721,48.1112,262,3854,1,26509058,-80
38258,11.4803,48.1463,262,7093,1,29138432,-80
38261,11.5989,48.1197,262,2980,1,27171330,-56
38263,11.6203,48.1209,262,1840,1,27128320,-88
38268,11.6093,48.1293,262,4107,1,29464832,-79
38269,11.4825,48.1564,262,5698,1,33175808,-81
38272,11.5239,48.1288,262,1346,1,26503681,-90
38273,11.5232,48.1331,262,1017,1,26503680,-103
38279,11.4758,48.2054,262,3775,1,26508545,-66
38282,11.6029,48.1265,262,3729,1,29464833,-112
38283,11.6111,48.1305,262,5584,1,29464835,-81
38285,11.4544,48.1514,262,20084,1,28083202,-78
38287,11.501,48.1449,262,5553,1,30923777,-112
38292,11.4249,48.1745,262,2649,1,28085505,-88
38294,11.5293,48.1312,262,1000,1,26527234,-67
38295,11.5296,48.1311,262,629,1,26527233,-83
38297,11.4687,48.1473,262,21134,1,29138434,-85
38303,11.563,48.1173,262,1000,1,34809602,-80
38304,11.5622,48.1133,262,4623,1,34809600,-88
38305,11.5769,48.1106,262,7371,1,26530560,-87
